Indicator,Abs_Corr,R2_Explained
Z20,0.9031908280446131,0.815753671863914
Boll_%B20,0.9031908280446131,0.815753671863914
Adj_Close,0.8949262936407099,0.800893071049498
OBV,0.793582761346196,0.6297735991058534
RSI14,0.6941142818039864,0.4817946362042638
EMA5,0.6833012877506682,0.4669006498417215
EMA20,0.416179157444587,0.17320509109128635
SMA5,0.38430655203285613,0.14769152593538235
Volume,0.3675050006210419,0.13505992548147203
SMA20,0.20944122345355648,0.04386562608172258
ADX14,0.10834619173902947,0.011738897264350538
ATR14,0.05922159914680132,0.003507197805504419
VOL20,0.05696713308406315,0.003245254251817362
